team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,subbed_in,subbed_out,subbed_team,subbed_reason,fielders_name,target_overs,target_runs,current_team_total,source_file,noballs,is_fielder_sub,umpires_call,injury_subbed_in,injury_subbed_out,is_non_boundary
Sunrisers Hyderabad,19,4.0,0.1,5.6,mandatory,JD Unadkat,B Kumar,DA Payne,2,0,2,,,,,,,,,,,,,,,,,,199,1527674.csv,,,,,,
Sunrisers Hyderabad,19,5.0,0.1,5.6,mandatory,JD Unadkat,B Kumar,DA Payne,0,0,0,,,,,,,,,,,,,,,,,,199,1527674.csv,,,,,,
Sunrisers Hyderabad,19,6.0,0.1,5.6,mandatory,JD Unadkat,B Kumar,DA Payne,2,0,2,,,,,,,,,,,,,,,,,,201,1527674.csv,,,,,,
Royal Challengers Bengaluru,0,1.0,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,0,1527674.csv,,,,,,
Royal Challengers Bengaluru,0,2.0,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,0,1527674.csv,,,,,,
Royal Challengers Bengaluru,0,3.0,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,4,1527674.csv,,,,,,
Royal Challengers Bengaluru,0,4.0,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,4,1527674.csv,,,,,,
Royal Challengers Bengaluru,0,5.0,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,8,1527674.csv,,,,,,
Royal Challengers Bengaluru,0,6.0,0.1,5.6,mandatory,PD Salt,Nithish Kumar Reddy,V Kohli,0,1,1,,,,,,,1.0,,,,,,,,,20.0,202.0,9,1527674.csv,,,,,,
Royal Challengers Bengaluru,1,1.0,0.1,5.6,mandatory,PD Salt,JD Unadkat,V Kohli,0,0,0,,,,,,,,,PD Salt,caught,,,,,H Klaasen,20.0,202.0,9,1527674.csv,,,,,,
Royal Challengers Bengaluru,1,2.0,0.1,5.6,mandatory,D Padikkal,JD Unadkat,V Kohli,6,0,6,,,,,,,,,,,,,,,,20.0,202.0,15,1527674.csv,,,,,,
Royal Challengers Bengaluru,1,3.0,0.1,5.6,mandatory,D Padikkal,JD Unadkat,V Kohli,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,16,1527674.csv,,,,,,
Royal Challengers Bengaluru,1,4.0,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,0,0,0,,,,,,,,,,,,,,,,20.0,202.0,16,1527674.csv,,,,,,
Royal Challengers Bengaluru,1,5.0,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,4,0,4,,,,,,,,,,,,,,,,20.0,202.0,20,1527674.csv,,,,,,
Royal Challengers Bengaluru,1,6.0,0.1,5.6,mandatory,V Kohli,JD Unadkat,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,21,1527674.csv,,,,,,
Royal Challengers Bengaluru,2,1.0,0.1,5.6,mandatory,V Kohli,Nithish Kumar Reddy,D Padikkal,1,0,1,,,,,,,,,,,,,,,,20.0,202.0,22,1527674.csv,,,,,,
