team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,11,1,0.1,5.7,mandatory,Ishan Kishan,M Jansen,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,144
Sunrisers Hyderabad,11,2,0.1,5.7,mandatory,H Klaasen,M Jansen,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,145
Sunrisers Hyderabad,11,3,0.1,5.7,mandatory,Ishan Kishan,M Jansen,H Klaasen,,4,0,4,,,,,,,,,,,,,,,,,149
Sunrisers Hyderabad,11,4,0.1,5.7,mandatory,Ishan Kishan,M Jansen,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,150
Sunrisers Hyderabad,11,5,0.1,5.7,mandatory,H Klaasen,M Jansen,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,,,,150
Sunrisers Hyderabad,11,6,0.1,5.7,mandatory,H Klaasen,M Jansen,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,151
Sunrisers Hyderabad,12,1,0.1,5.7,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,152
Sunrisers Hyderabad,12,2,0.1,5.7,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,153
Sunrisers Hyderabad,12,3,0.1,5.7,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,,2,0,2,,,,,,,,,,,,,,,,,155
Sunrisers Hyderabad,12,4,0.1,5.7,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,,0,0,0,,,,,,,,,,,,,,,,,155
Sunrisers Hyderabad,12,5,0.1,5.7,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,156
Sunrisers Hyderabad,12,6,0.1,5.7,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,,4,0,4,,,,,,,,,,,,,,,,,160
Sunrisers Hyderabad,13,1,0.1,5.7,mandatory,H Klaasen,Arshdeep Singh,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,161
Sunrisers Hyderabad,13,2,0.1,5.7,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,,6,0,6,,,,,,,,,,,,,,,,,167
Sunrisers Hyderabad,13,3,0.1,5.7,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,,0,0,0,,,,,,,,,,,,,,,,,167
Sunrisers Hyderabad,13,4,0.1,5.7,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,168
Sunrisers Hyderabad,13,5,0.1,5.7,mandatory,H Klaasen,Arshdeep Singh,Ishan Kishan,,1,0,1,,,,,,,,,,,,,,,,,169
Sunrisers Hyderabad,13,6,0.1,5.7,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,,0,0,0,,,,,,,,Ishan Kishan,caught,,,,,M Jansen,,,169
Sunrisers Hyderabad,14,1,0.1,5.7,mandatory,H Klaasen,M Jansen,Aniket Verma,,2,0,2,,,,,,,,,,,,,,,,,171
Sunrisers Hyderabad,14,2,0.1,5.7,mandatory,H Klaasen,M Jansen,Aniket Verma,,1,0,1,,,,,,,,,,,,,,,,,172
Sunrisers Hyderabad,14,3,0.1,5.7,mandatory,Aniket Verma,M Jansen,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,173
Sunrisers Hyderabad,14,4,0.1,5.7,mandatory,H Klaasen,M Jansen,Aniket Verma,,1,0,1,,,,,,,,,,,,,,,,,174
Sunrisers Hyderabad,14,5,0.1,5.7,mandatory,Aniket Verma,M Jansen,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,175
Sunrisers Hyderabad,14,6,0.1,5.7,mandatory,H Klaasen,M Jansen,Aniket Verma,,1,0,1,,,,,,,,,,,,,,,,,176
Sunrisers Hyderabad,15,1,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Aniket Verma,,1,0,1,,,,,,,,,,,,,,,,,177
Sunrisers Hyderabad,15,2,0.1,5.7,mandatory,Aniket Verma,XC Bartlett,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,178
Sunrisers Hyderabad,15,3,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Aniket Verma,,1,0,1,,,,,,,,,,,,,,,,,179
Sunrisers Hyderabad,15,4,0.1,5.7,mandatory,Aniket Verma,XC Bartlett,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,180
Sunrisers Hyderabad,15,5,0.1,5.7,mandatory,H Klaasen,XC Bartlett,Aniket Verma,,1,0,1,,,,,,,,,,,,,,,,,181
Sunrisers Hyderabad,15,6,0.1,5.7,mandatory,Aniket Verma,XC Bartlett,H Klaasen,,1,0,1,,,,,,,,,,,,,,,,,182
