team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,10,5,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,104
Royal Challengers Bengaluru,10,6,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,108
Royal Challengers Bengaluru,11,1,0.1,5.6,mandatory,V Kohli,Shashank Singh,VR Iyer,6,0,6,,,,,,,,,,,,,,,,,,,,114
Royal Challengers Bengaluru,11,2,0.1,5.6,mandatory,V Kohli,Shashank Singh,VR Iyer,2,0,2,,,,,,,,,,,,,,,,,,,,116
Royal Challengers Bengaluru,11,3,0.1,5.6,mandatory,V Kohli,Shashank Singh,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,117
Royal Challengers Bengaluru,11,4,0.1,5.6,mandatory,VR Iyer,Shashank Singh,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,118
Royal Challengers Bengaluru,11,5,0.1,5.6,mandatory,V Kohli,Shashank Singh,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,119
Royal Challengers Bengaluru,11,6,0.1,5.6,mandatory,VR Iyer,Shashank Singh,V Kohli,0,1,1,,,1.0,,,,,,,,,,,,,,,,,120
Royal Challengers Bengaluru,12,1,0.1,5.6,mandatory,VR Iyer,LH Ferguson,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,120
Royal Challengers Bengaluru,12,2,0.1,5.6,mandatory,VR Iyer,LH Ferguson,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,124
Royal Challengers Bengaluru,12,3,0.1,5.6,mandatory,VR Iyer,LH Ferguson,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,125
Royal Challengers Bengaluru,12,4,0.1,5.6,mandatory,V Kohli,LH Ferguson,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,126
Royal Challengers Bengaluru,12,5,0.1,5.6,mandatory,VR Iyer,LH Ferguson,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,127
Royal Challengers Bengaluru,12,6,0.1,5.6,mandatory,V Kohli,LH Ferguson,VR Iyer,4,0,4,,,,,,,,,,,,,,,,,,,,131
Royal Challengers Bengaluru,13,1,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,135
Royal Challengers Bengaluru,13,2,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,139
Royal Challengers Bengaluru,13,3,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,140
Royal Challengers Bengaluru,13,4,0.1,5.6,mandatory,V Kohli,Harpreet Brar,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,141
Royal Challengers Bengaluru,13,5,0.1,5.6,mandatory,VR Iyer,Harpreet Brar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,142
Royal Challengers Bengaluru,13,6,0.1,5.6,mandatory,V Kohli,Harpreet Brar,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,143
Royal Challengers Bengaluru,14,1,0.1,5.6,mandatory,V Kohli,YS Chahal,VR Iyer,1,0,1,,,,,,,,,,,,,,,,,,,,144
Royal Challengers Bengaluru,14,2,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,150
Royal Challengers Bengaluru,14,3,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,150
Royal Challengers Bengaluru,14,4,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,156
Royal Challengers Bengaluru,14,5,0.1,5.6,mandatory,VR Iyer,YS Chahal,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,157
