team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,17,5,0.1,5.6,mandatory,D Brevis,E Malinga,S Dube,,0,0,0,,,,,,,D Brevis,bowled,,,,,,,,159
Chennai Super Kings,17,6,0.1,5.6,mandatory,PR Veer,E Malinga,S Dube,,0,0,0,,,,,,,,,,,,,,,,159
Chennai Super Kings,18,1,0.1,5.6,mandatory,S Dube,Sakib Hussain,PR Veer,,4,0,4,,,,,,,,,,,,,,,,163
Chennai Super Kings,18,2,0.1,5.6,mandatory,S Dube,Sakib Hussain,PR Veer,,0,0,0,,,,,,,,,,,,,,,,163
Chennai Super Kings,18,3,0.1,5.6,mandatory,S Dube,Sakib Hussain,PR Veer,,0,1,1,,,,,,1.0,,,,,,,,,,164
Chennai Super Kings,18,4,0.1,5.6,mandatory,S Dube,Sakib Hussain,PR Veer,,0,0,0,,,,,,,S Dube,bowled,,,,,,,,164
Chennai Super Kings,18,5,0.1,5.6,mandatory,AJ Hosein,Sakib Hussain,PR Veer,,3,0,3,,,,,,,,,,,,,,,,167
Chennai Super Kings,18,6,0.1,5.6,mandatory,PR Veer,Sakib Hussain,AJ Hosein,,4,0,4,,,,,,,,,,,,,,,,171
Chennai Super Kings,18,7,0.1,5.6,mandatory,PR Veer,Sakib Hussain,AJ Hosein,,1,0,1,,,,,,,,,,,,,,,,172
Chennai Super Kings,19,1,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,0,1,1,,,,,,1.0,,,,,,,,,,173
Chennai Super Kings,19,2,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,0,1,1,,,,,,1.0,,,,,,,,,,174
Chennai Super Kings,19,3,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,2,0,2,,,,,,,,,,,,,,,,176
Chennai Super Kings,19,4,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,0,0,0,,,,,,,,,,,,,,,,176
Chennai Super Kings,19,5,0.1,5.6,mandatory,PR Veer,PP Hinge,AJ Hosein,,0,0,0,,,,,,,,,,,,,,,,176
