team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,17,6,0.1,5.6,mandatory,A Raghuvanshi,Rasikh Salam,RK Singh,0,0,0,,,,,,,,,,,,,,,,,172
Kolkata Knight Riders,18,1,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,172
Kolkata Knight Riders,18,2,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,176
Kolkata Knight Riders,18,3,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,178
Kolkata Knight Riders,18,4,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,179
Kolkata Knight Riders,18,5,0.1,5.6,mandatory,A Raghuvanshi,JR Hazlewood,RK Singh,1,0,1,,,,,,,,,,,,,,,,,180
Kolkata Knight Riders,18,6,0.1,5.6,mandatory,RK Singh,JR Hazlewood,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,182
Kolkata Knight Riders,19,1,0.1,5.6,mandatory,A Raghuvanshi,B Kumar,RK Singh,1,0,1,,,,,,,,,,,,,,,,,183
Kolkata Knight Riders,19,2,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,189
Kolkata Knight Riders,19,3,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,189
Kolkata Knight Riders,19,4,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,190
Kolkata Knight Riders,19,5,0.1,5.6,mandatory,A Raghuvanshi,B Kumar,RK Singh,1,0,1,,,,,,,,,,,,,,,,,191
Kolkata Knight Riders,19,6,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,1,0,1,,,,,,,,A Raghuvanshi,run out,,,,,D Padikkal,,,192
Kolkata Knight Riders,19,7,0.1,5.6,mandatory,RK Singh,B Kumar,A Raghuvanshi,1,0,1,,,,,,,,A Raghuvanshi,run out,,,,,B Kumar,,,193
Royal Challengers Bengaluru,0,1,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,0,0,0,,,,,,,,,,SR Dubey,FH Allen,Kolkata Knight Riders,impact_player,,20.0,193.0,0
Royal Challengers Bengaluru,0,2,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,0
Royal Challengers Bengaluru,0,3,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,0
Royal Challengers Bengaluru,0,4,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,0,0,0,,,,,,,,,,,,,,,20.0,193.0,0
Royal Challengers Bengaluru,0,5,0.1,5.7,mandatory,JG Bethell,SR Dubey,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,20.0,193.0,1
Royal Challengers Bengaluru,0,6,0.1,5.7,mandatory,V Kohli,SR Dubey,JG Bethell,1,0,1,,,,,,,,,,,,,,,20.0,193.0,2
Royal Challengers Bengaluru,1,1,0.1,5.7,mandatory,V Kohli,VG Arora,JG Bethell,4,0,4,,,,,,,,,,,,,,,20.0,193.0,6
Royal Challengers Bengaluru,1,2,0.1,5.7,mandatory,V Kohli,VG Arora,JG Bethell,0,1,1,1.0,,,,,,,,,,,,,,20.0,193.0,7
Royal Challengers Bengaluru,1,3,0.1,5.7,mandatory,JG Bethell,VG Arora,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,20.0,193.0,8
Royal Challengers Bengaluru,1,4,0.1,5.7,mandatory,V Kohli,VG Arora,JG Bethell,4,0,4,,,,,,,,,,,,,,,20.0,193.0,12
Royal Challengers Bengaluru,1,5,0.1,5.7,mandatory,V Kohli,VG Arora,JG Bethell,4,0,4,,,,,,,,,,,,,,,20.0,193.0,16
Royal Challengers Bengaluru,1,6,0.1,5.7,mandatory,V Kohli,VG Arora,JG Bethell,4,0,4,,,,,,,,,,,,,,,20.0,193.0,20
