team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,byes,player_out,wicket_kind,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,17,5,0.1,5.6,mandatory,GF Linde,JR Hazlewood,MD Choudhary,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,132
Lucknow Super Giants,17,6,0.1,5.6,mandatory,GF Linde,JR Hazlewood,MD Choudhary,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,134
Lucknow Super Giants,17,7,0.1,5.6,mandatory,GF Linde,JR Hazlewood,MD Choudhary,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,135
Lucknow Super Giants,18,1,0.1,5.6,mandatory,GF Linde,B Kumar,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,136
Lucknow Super Giants,18,2,0.1,5.6,mandatory,MD Choudhary,B Kumar,GF Linde,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,137
Lucknow Super Giants,18,3,0.1,5.6,mandatory,GF Linde,B Kumar,MD Choudhary,0,0,0,,,,,,,,,,GF Linde,caught,,,,,,,,,TH David,,,,137
Lucknow Super Giants,18,4,0.1,5.6,mandatory,Mohammed Shami,B Kumar,MD Choudhary,0,0,0,,,,,,,,,,Mohammed Shami,bowled,,,,,,,,,,,,,137
Lucknow Super Giants,18,5,0.1,5.6,mandatory,Avesh Khan,B Kumar,MD Choudhary,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,138
Lucknow Super Giants,18,6,0.1,5.6,mandatory,MD Choudhary,B Kumar,Avesh Khan,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,139
Lucknow Super Giants,19,1,0.1,5.6,mandatory,MD Choudhary,Rasikh Salam,Avesh Khan,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,145
Lucknow Super Giants,19,2,0.1,5.6,mandatory,MD Choudhary,Rasikh Salam,Avesh Khan,0,0,0,,,,,,,,,,MD Choudhary,bowled,,,,,,,,,,,,,145
Lucknow Super Giants,19,3,0.1,5.6,mandatory,DS Rathi,Rasikh Salam,Avesh Khan,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,145
Lucknow Super Giants,19,4,0.1,5.6,mandatory,DS Rathi,Rasikh Salam,Avesh Khan,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,145
Lucknow Super Giants,19,5,0.1,5.6,mandatory,DS Rathi,Rasikh Salam,Avesh Khan,0,1,1,,,,,,,,,1.0,,,,,,,,,,,,,,,146
Lucknow Super Giants,19,6,0.1,5.6,mandatory,Avesh Khan,Rasikh Salam,DS Rathi,0,0,0,,,,,,,,,,Avesh Khan,bowled,,,,,,,,,,,,,146
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,PD Salt,Mohammed Shami,V Kohli,0,0,0,,,,,,,,,,,,,,,,V Kohli,Suyash Sharma,Royal Challengers Bengaluru,impact_player,,,20.0,147.0,0
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,PD Salt,Mohammed Shami,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,0
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,PD Salt,Mohammed Shami,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,4
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,PD Salt,Mohammed Shami,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,4
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,PD Salt,Mohammed Shami,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,5
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,V Kohli,Mohammed Shami,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,6
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,V Kohli,Prince Yadav,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,7
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,PD Salt,Prince Yadav,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,9
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,PD Salt,Prince Yadav,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,9
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,PD Salt,Prince Yadav,V Kohli,0,0,0,,,,,,,,,,PD Salt,bowled,,,,,,,,,,,20.0,147.0,9
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,D Padikkal,Prince Yadav,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,20.0,147.0,13
