team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,3,5,0.1,5.7,mandatory,A Mhatre,Sakib Hussain,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,20.0,195.0,54
Chennai Super Kings,3,6,0.1,5.7,mandatory,RD Gaikwad,Sakib Hussain,A Mhatre,1,0,1,,,,,,,,,,,,,,,,,20.0,195.0,55
Chennai Super Kings,3,7,0.1,5.7,mandatory,A Mhatre,Sakib Hussain,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,195.0,56
Chennai Super Kings,3,8,0.1,5.7,mandatory,A Mhatre,Sakib Hussain,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,20.0,195.0,60
Chennai Super Kings,4,1,0.1,5.7,mandatory,RD Gaikwad,Nithish Kumar Reddy,A Mhatre,0,1,1,1.0,,,,,,,,,,,,,,,,20.0,195.0,61
Chennai Super Kings,4,2,0.1,5.7,mandatory,RD Gaikwad,Nithish Kumar Reddy,A Mhatre,2,0,2,,,,,,,,,,,,,,,,,20.0,195.0,63
Chennai Super Kings,4,3,0.1,5.7,mandatory,RD Gaikwad,Nithish Kumar Reddy,A Mhatre,2,0,2,,,,,,,,,,,,,,,,,20.0,195.0,65
Chennai Super Kings,4,4,0.1,5.7,mandatory,RD Gaikwad,Nithish Kumar Reddy,A Mhatre,1,0,1,,,,,,,,,,,,,,,,,20.0,195.0,66
Chennai Super Kings,4,5,0.1,5.7,mandatory,A Mhatre,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,A Mhatre,caught,,,,,H Klaasen,20.0,195.0,66
Chennai Super Kings,4,6,0.1,5.7,mandatory,MW Short,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,66
Chennai Super Kings,4,7,0.1,5.7,mandatory,MW Short,Nithish Kumar Reddy,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,20.0,195.0,66
