team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,16,1,0.1,5.8,mandatory,Himmat Singh,A Kamboj,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,160
Lucknow Super Giants,16,2,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,,,,160
Lucknow Super Giants,16,3,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,161
Lucknow Super Giants,16,4,0.1,5.8,mandatory,Himmat Singh,A Kamboj,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,162
Lucknow Super Giants,16,5,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,163
Lucknow Super Giants,16,6,0.1,5.8,mandatory,Himmat Singh,A Kamboj,Shahbaz Ahmed,4,0,4,,,,,,,,,,,,,,,,,,,,167
Lucknow Super Giants,17,1,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,,,,167
Lucknow Super Giants,17,2,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Himmat Singh,6,0,6,,,,,,,,,,,,,,,,,,,,173
Lucknow Super Giants,17,3,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,174
Lucknow Super Giants,17,4,0.1,5.8,mandatory,Himmat Singh,Mukesh Choudhary,Shahbaz Ahmed,0,1,1,1.0,,,,,,,,,,,,,,,,,,,175
Lucknow Super Giants,17,5,0.1,5.8,mandatory,Himmat Singh,Mukesh Choudhary,Shahbaz Ahmed,1,0,1,,,,,,,,,,,,,,,,,,,,176
Lucknow Super Giants,17,6,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,,,,176
Lucknow Super Giants,17,7,0.1,5.8,mandatory,Shahbaz Ahmed,Mukesh Choudhary,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,177
Lucknow Super Giants,18,1,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,4,0,4,,,,,,,,,,,,,,,,,,,,181
Lucknow Super Giants,18,2,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,6,0,6,,,,,,,,,,,,,,,,,,,,187
Lucknow Super Giants,18,3,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,2,0,2,,,,,,,,,,,,,,,,,,,,189
Lucknow Super Giants,18,4,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,4,0,4,,,,,,,,,,,,,,,,,,,,193
Lucknow Super Giants,18,5,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,,,,193
Lucknow Super Giants,18,6,0.1,5.8,mandatory,Shahbaz Ahmed,J Overton,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,194
Lucknow Super Giants,19,1,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Himmat Singh,2,0,2,,,,,,,,,,,,,,,,,,,,196
Lucknow Super Giants,19,2,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Himmat Singh,0,0,0,,,,,,,,,,,,,,,,,,,,196
Lucknow Super Giants,19,3,0.1,5.8,mandatory,Shahbaz Ahmed,A Kamboj,Himmat Singh,1,0,1,,,,,,,,,,,,,,,,,,,,197
Lucknow Super Giants,19,4,0.1,5.8,mandatory,Himmat Singh,A Kamboj,Shahbaz Ahmed,0,0,0,,,,,,,,,,Himmat Singh,bowled,,,,,,,,,197
