team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,11,5,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,1,0,1,,,,,,,,,,,,,,133
Sunrisers Hyderabad,11,6,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,1,0,1,,,,,,,,,,,,,,134
Sunrisers Hyderabad,12,1,0.1,5.6,mandatory,H Klaasen,M Jansen,Ishan Kishan,1,0,1,,,,,,,,,,,,,,135
Sunrisers Hyderabad,12,2,0.1,5.6,mandatory,Ishan Kishan,M Jansen,H Klaasen,2,0,2,,,,,,,,,,,,,,137
Sunrisers Hyderabad,12,3,0.1,5.6,mandatory,Ishan Kishan,M Jansen,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,138
Sunrisers Hyderabad,12,4,0.1,5.6,mandatory,Ishan Kishan,M Jansen,H Klaasen,1,0,1,,,,,,,,,,,,,,139
Sunrisers Hyderabad,12,5,0.1,5.6,mandatory,H Klaasen,M Jansen,Ishan Kishan,0,1,1,,,1.0,,,,,,,,,,,140
Sunrisers Hyderabad,12,6,0.1,5.6,mandatory,Ishan Kishan,M Jansen,H Klaasen,1,0,1,,,,,,,,,,,,,,141
Sunrisers Hyderabad,12,7,0.1,5.6,mandatory,H Klaasen,M Jansen,Ishan Kishan,6,0,6,,,,,,,,,,,,,,147
Sunrisers Hyderabad,13,1,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,1,0,1,,,,,,,,,,,,,,148
Sunrisers Hyderabad,13,2,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Ishan Kishan,0,1,1,,,1.0,,,,,,,,,,,149
Sunrisers Hyderabad,13,3,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,6,0,6,,,,,,,,,,,,,,155
Sunrisers Hyderabad,13,4,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,6,0,6,,,,,,,,,,,,,,161
Sunrisers Hyderabad,13,5,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,6,0,6,,,,,,,,,,,,,,167
Sunrisers Hyderabad,13,6,0.1,5.6,mandatory,Ishan Kishan,Vijaykumar Vyshak,H Klaasen,1,0,1,,,,,,,,,,,,,,168
Sunrisers Hyderabad,14,1,0.1,5.6,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,2,0,2,,,,,,,,,,,,,,170
Sunrisers Hyderabad,14,2,0.1,5.6,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,171
Sunrisers Hyderabad,14,3,0.1,5.6,mandatory,H Klaasen,Arshdeep Singh,Ishan Kishan,1,0,1,,,,,,,,,,,,,,172
Sunrisers Hyderabad,14,4,0.1,5.6,mandatory,Ishan Kishan,Arshdeep Singh,H Klaasen,0,0,0,,,,,Ishan Kishan,caught,,,,,Suryansh Shedge,,,172
Sunrisers Hyderabad,14,5,0.1,5.6,mandatory,Nithish Kumar Reddy,Arshdeep Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,173
Sunrisers Hyderabad,14,6,0.1,5.6,mandatory,H Klaasen,Arshdeep Singh,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,174
Sunrisers Hyderabad,15,1,0.1,5.6,mandatory,H Klaasen,YS Chahal,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,174
Sunrisers Hyderabad,15,2,0.1,5.6,mandatory,H Klaasen,YS Chahal,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,175
Sunrisers Hyderabad,15,3,0.1,5.6,mandatory,Nithish Kumar Reddy,YS Chahal,H Klaasen,1,0,1,,,,,,,,,,,,,,176
Sunrisers Hyderabad,15,4,0.1,5.6,mandatory,H Klaasen,YS Chahal,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,177
Sunrisers Hyderabad,15,5,0.1,5.6,mandatory,Nithish Kumar Reddy,YS Chahal,H Klaasen,4,0,4,,,,,,,,,,,,,,181
Sunrisers Hyderabad,15,6,0.1,5.6,mandatory,Nithish Kumar Reddy,YS Chahal,H Klaasen,1,0,1,,,,,,,,,,,,,,182
Sunrisers Hyderabad,16,1,0.1,5.6,mandatory,Nithish Kumar Reddy,M Jansen,H Klaasen,6,0,6,,,,,,,Priyansh Arya,YS Chahal,Punjab Kings,impact_player,,,,188
Sunrisers Hyderabad,16,2,0.1,5.6,mandatory,Nithish Kumar Reddy,M Jansen,H Klaasen,1,0,1,,,,,,,,,,,,,,189
Sunrisers Hyderabad,16,3,0.1,5.6,mandatory,H Klaasen,M Jansen,Nithish Kumar Reddy,6,0,6,,,,,,,,,,,,,,195
Sunrisers Hyderabad,16,4,0.1,5.6,mandatory,H Klaasen,M Jansen,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,196
Sunrisers Hyderabad,16,5,0.1,5.6,mandatory,Nithish Kumar Reddy,M Jansen,H Klaasen,1,0,1,,,,,,,,,,,,,,197
Sunrisers Hyderabad,16,6,0.1,5.6,mandatory,H Klaasen,M Jansen,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,199
Sunrisers Hyderabad,17,1,0.1,5.6,mandatory,Nithish Kumar Reddy,LH Ferguson,H Klaasen,1,0,1,,,,,,,,,,,,,,200
Sunrisers Hyderabad,17,2,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,202
Sunrisers Hyderabad,17,3,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,202
Sunrisers Hyderabad,17,4,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,204
Sunrisers Hyderabad,17,5,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Nithish Kumar Reddy,0,1,1,1.0,,,,,,,,,,,,,205
Sunrisers Hyderabad,17,6,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,206
Sunrisers Hyderabad,17,7,0.1,5.6,mandatory,Nithish Kumar Reddy,LH Ferguson,H Klaasen,6,0,6,,,,,,,,,,,,,,212
Sunrisers Hyderabad,18,1,0.1,5.6,mandatory,H Klaasen,Arshdeep Singh,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,213
Sunrisers Hyderabad,18,2,0.1,5.6,mandatory,Nithish Kumar Reddy,Arshdeep Singh,H Klaasen,4,0,4,,,,,,,,,,,,,,217
Sunrisers Hyderabad,18,3,0.1,5.6,mandatory,Nithish Kumar Reddy,Arshdeep Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,218
Sunrisers Hyderabad,18,4,0.1,5.6,mandatory,H Klaasen,Arshdeep Singh,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,220
Sunrisers Hyderabad,18,5,0.1,5.6,mandatory,H Klaasen,Arshdeep Singh,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,221
Sunrisers Hyderabad,18,6,0.1,5.6,mandatory,Nithish Kumar Reddy,Arshdeep Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,222
Sunrisers Hyderabad,19,1,0.1,5.6,mandatory,Nithish Kumar Reddy,Vijaykumar Vyshak,H Klaasen,1,0,1,,,,,,,,,,,,,,223
Sunrisers Hyderabad,19,2,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Nithish Kumar Reddy,0,0,0,,,,,,,,,,,,,,223
Sunrisers Hyderabad,19,3,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Nithish Kumar Reddy,6,0,6,,,,,,,,,,,,,,229
Sunrisers Hyderabad,19,4,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Nithish Kumar Reddy,2,0,2,,,,,,,,,,,,,,231
Sunrisers Hyderabad,19,5,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,235
Sunrisers Hyderabad,19,6,0.1,5.6,mandatory,H Klaasen,Vijaykumar Vyshak,Nithish Kumar Reddy,0,0,0,,,,,H Klaasen,caught,,,,,M Jansen,,,235
Punjab Kings,0,1,0.1,5.7,mandatory,Priyansh Arya,PJ Cummins,P Simran Singh,1,0,1,,,,,,,Harsh Dubey,TM Head,Sunrisers Hyderabad,impact_player,,20.0,236.0,1
Punjab Kings,0,2,0.1,5.7,mandatory,P Simran Singh,PJ Cummins,Priyansh Arya,2,0,2,,,,,,,,,,,,20.0,236.0,3
Punjab Kings,0,3,0.1,5.7,mandatory,P Simran Singh,PJ Cummins,Priyansh Arya,0,0,0,,,,,,,,,,,,20.0,236.0,3
Punjab Kings,0,4,0.1,5.7,mandatory,P Simran Singh,PJ Cummins,Priyansh Arya,1,0,1,,,,,,,,,,,,20.0,236.0,4
Punjab Kings,0,5,0.1,5.7,mandatory,Priyansh Arya,PJ Cummins,P Simran Singh,0,0,0,,,,,,,,,,,,20.0,236.0,4
Punjab Kings,0,6,0.1,5.7,mandatory,Priyansh Arya,PJ Cummins,P Simran Singh,0,0,0,,,,,Priyansh Arya,caught,,,,,E Malinga,20.0,236.0,4
Punjab Kings,1,1,0.1,5.7,mandatory,P Simran Singh,Nithish Kumar Reddy,C Connolly,0,0,0,,,,,P Simran Singh,caught,,,,,PJ Cummins,20.0,236.0,4
Punjab Kings,1,2,0.1,5.7,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,4,0,4,,,,,,,,,,,,20.0,236.0,8
Punjab Kings,1,3,0.1,5.7,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,8
Punjab Kings,1,4,0.1,5.7,mandatory,SS Iyer,Nithish Kumar Reddy,C Connolly,1,0,1,,,,,,,,,,,,20.0,236.0,9
Punjab Kings,1,5,0.1,5.7,mandatory,C Connolly,Nithish Kumar Reddy,SS Iyer,0,0,0,,,,,,,,,,,,20.0,236.0,9
Punjab Kings,1,6,0.1,5.7,mandatory,C Connolly,Nithish Kumar Reddy,SS Iyer,1,0,1,,,,,,,,,,,,20.0,236.0,10
Punjab Kings,2,1,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,4,0,4,,,,,,,,,,,,20.0,236.0,14
Punjab Kings,2,2,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,2,0,2,,,,,,,,,,,,20.0,236.0,16
Punjab Kings,2,3,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,0,0,0,,,,,,,,,,,,20.0,236.0,16
Punjab Kings,2,4,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,0,1,1,,,,1.0,,,,,,,,20.0,236.0,17
Punjab Kings,2,5,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,6,0,6,,,,,,,,,,,,20.0,236.0,23
Punjab Kings,2,6,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,0,0,0,,,,,,,,,,,,20.0,236.0,23
Punjab Kings,2,7,0.1,5.7,mandatory,C Connolly,PJ Cummins,SS Iyer,0,0,0,,,,,,,,,,,,20.0,236.0,23
Punjab Kings,3,1,0.1,5.7,mandatory,SS Iyer,E Malinga,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,23
Punjab Kings,3,2,0.1,5.7,mandatory,SS Iyer,E Malinga,C Connolly,0,0,0,,,,,SS Iyer,caught,,,,,PJ Cummins,20.0,236.0,23
Punjab Kings,3,3,0.1,5.7,mandatory,MP Stoinis,E Malinga,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,23
Punjab Kings,3,4,0.1,5.7,mandatory,MP Stoinis,E Malinga,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,23
Punjab Kings,3,5,0.1,5.7,mandatory,MP Stoinis,E Malinga,C Connolly,6,0,6,,,,,,,,,,,,20.0,236.0,29
Punjab Kings,3,6,0.1,5.7,mandatory,MP Stoinis,E Malinga,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,29
Punjab Kings,4,1,0.1,5.7,mandatory,C Connolly,Sakib Hussain,MP Stoinis,1,0,1,,,,,,,,,,,,20.0,236.0,30
Punjab Kings,4,2,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,30
Punjab Kings,4,3,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,2,0,2,,,,,,,,,,,,20.0,236.0,32
Punjab Kings,4,4,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,0,0,0,,,,,,,,,,,,20.0,236.0,32
Punjab Kings,4,5,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,4,0,4,,,,,,,,,,,,20.0,236.0,36
Punjab Kings,4,6,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,0,1,1,1.0,,,,,,,,,,,20.0,236.0,37
Punjab Kings,4,7,0.1,5.7,mandatory,MP Stoinis,Sakib Hussain,C Connolly,4,1,5,,,,1.0,,,,,,,,20.0,236.0,42
