team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,11,3,0.1,5.7,mandatory,RM Patidar,M Markande,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,137
Royal Challengers Bengaluru,11,4,0.1,5.7,mandatory,RM Patidar,M Markande,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,143
Royal Challengers Bengaluru,11,5,0.1,5.7,mandatory,RM Patidar,M Markande,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,143
Royal Challengers Bengaluru,11,6,0.1,5.7,mandatory,RM Patidar,M Markande,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,144
Royal Challengers Bengaluru,12,1,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,145
Royal Challengers Bengaluru,12,2,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,149
Royal Challengers Bengaluru,12,3,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,150
Royal Challengers Bengaluru,12,4,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,151
Royal Challengers Bengaluru,12,5,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,157
Royal Challengers Bengaluru,12,6,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,158
Royal Challengers Bengaluru,12,7,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,159
Royal Challengers Bengaluru,12,8,0.1,5.7,mandatory,V Kohli,SN Thakur,RM Patidar,2,0,2,,,,,,,,,,,,,,,,,,,,,,161
Royal Challengers Bengaluru,12,9,0.1,5.7,mandatory,V Kohli,SN Thakur,RM Patidar,4,0,4,,,,,,,,,,,,,,,,,,,,,,165
