team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,19,4,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,Suryansh Shedge,6,0,6,,,,,,,,,,,,,,,,,,,214
Punjab Kings,19,5,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,Suryansh Shedge,4,0,4,,,,,,,,,,,,,,,,,,,218
Punjab Kings,19,6,0.1,5.6,mandatory,MP Stoinis,Brijesh Sharma,Suryansh Shedge,4,0,4,,,,,,,,,,,,,,,,,,,222
Rajasthan Royals,0,1,0.1,5.6,mandatory,YBK Jaiswal,Arshdeep Singh,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,1
Rajasthan Royals,0,2,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,1
Rajasthan Royals,0,3,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,1
Rajasthan Royals,0,4,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,7
Rajasthan Royals,0,5,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,11
Rajasthan Royals,0,6,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,15
Rajasthan Royals,1,1,0.1,5.6,mandatory,YBK Jaiswal,LH Ferguson,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,16
Rajasthan Royals,1,2,0.1,5.6,mandatory,V Suryavanshi,LH Ferguson,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,16
Rajasthan Royals,1,3,0.1,5.6,mandatory,V Suryavanshi,LH Ferguson,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,16
Rajasthan Royals,1,4,0.1,5.6,mandatory,V Suryavanshi,LH Ferguson,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,20
Rajasthan Royals,1,5,0.1,5.6,mandatory,V Suryavanshi,LH Ferguson,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,26
Rajasthan Royals,1,6,0.1,5.6,mandatory,V Suryavanshi,LH Ferguson,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,32
Rajasthan Royals,2,1,0.1,5.6,mandatory,YBK Jaiswal,M Jansen,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,36
Rajasthan Royals,2,2,0.1,5.6,mandatory,YBK Jaiswal,M Jansen,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,37
Rajasthan Royals,2,3,0.1,5.6,mandatory,V Suryavanshi,M Jansen,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,37
Rajasthan Royals,2,4,0.1,5.6,mandatory,V Suryavanshi,M Jansen,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,43
Rajasthan Royals,2,5,0.1,5.6,mandatory,V Suryavanshi,M Jansen,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,43
Rajasthan Royals,2,6,0.1,5.6,mandatory,V Suryavanshi,M Jansen,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,44
Rajasthan Royals,3,1,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,0,1,1,,1.0,,,,,,,,,,Harpreet Brar,Priyansh Arya,Punjab Kings,impact_player,,20.0,223.0,45
Rajasthan Royals,3,2,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,51
Rajasthan Royals,3,3,0.1,5.6,mandatory,V Suryavanshi,Arshdeep Singh,YBK Jaiswal,0,0,0,,,,,,,,,,V Suryavanshi,caught,,,,,SS Iyer,20.0,223.0,51
Rajasthan Royals,3,4,0.1,5.6,mandatory,Dhruv Jurel,Arshdeep Singh,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,52
Rajasthan Royals,3,5,0.1,5.6,mandatory,YBK Jaiswal,Arshdeep Singh,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,56
Rajasthan Royals,3,6,0.1,5.6,mandatory,YBK Jaiswal,Arshdeep Singh,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,20.0,223.0,62
Rajasthan Royals,3,7,0.1,5.6,mandatory,YBK Jaiswal,Arshdeep Singh,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,66
Rajasthan Royals,4,1,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,66
Rajasthan Royals,4,2,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,66
Rajasthan Royals,4,3,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,67
Rajasthan Royals,4,4,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,67
Rajasthan Royals,4,5,0.1,5.6,mandatory,YBK Jaiswal,Harpreet Brar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,68
Rajasthan Royals,4,6,0.1,5.6,mandatory,Dhruv Jurel,Harpreet Brar,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,20.0,223.0,68
Rajasthan Royals,5,1,0.1,5.6,mandatory,YBK Jaiswal,LH Ferguson,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,20.0,223.0,72
Rajasthan Royals,5,2,0.1,5.6,mandatory,YBK Jaiswal,LH Ferguson,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,20.0,223.0,73
