team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,15,4,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,,204
Sunrisers Hyderabad,15,5,0.1,5.6,mandatory,Ishan Kishan,Rasikh Salam,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,205
Sunrisers Hyderabad,15,6,0.1,5.6,mandatory,H Klaasen,Rasikh Salam,Ishan Kishan,2,0,2,,,,,,,,,,,,,,,,,,,207
Sunrisers Hyderabad,15,7,0.1,5.6,mandatory,H Klaasen,Rasikh Salam,Ishan Kishan,2,0,2,,,,,,,,,,,TH David,Suyash Sharma,Royal Challengers Bengaluru,impact_player,,,,,209
Sunrisers Hyderabad,16,1,0.1,5.6,mandatory,Ishan Kishan,KH Pandya,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,210
Sunrisers Hyderabad,16,2,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,0,0,0,,,,,,,,,H Klaasen,caught,,,,,VR Iyer,,,,210
Sunrisers Hyderabad,16,3,0.1,5.6,mandatory,Nithish Kumar Reddy,KH Pandya,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,216
Sunrisers Hyderabad,16,4,0.1,5.6,mandatory,Nithish Kumar Reddy,KH Pandya,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,,217
Sunrisers Hyderabad,16,5,0.1,5.6,mandatory,Nithish Kumar Reddy,KH Pandya,Ishan Kishan,6,0,6,,,,,,,,,,,,,,,,,,,223
Sunrisers Hyderabad,16,6,0.1,5.6,mandatory,Nithish Kumar Reddy,KH Pandya,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,223
