team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,byes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Chennai Super Kings,0,3,0.1,5.6,mandatory,RD Gaikwad,TA Boult,SV Samson,1,0,1,,,,,,,,,,,,20.0,160.0,2
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,TA Boult,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,2
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,TA Boult,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,6
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,TA Boult,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,7
Chennai Super Kings,1,1,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,7
Chennai Super Kings,1,2,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,8
Chennai Super Kings,1,3,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,SV Samson,1,0,1,,,,,,,,,,,,20.0,160.0,9
Chennai Super Kings,1,4,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,9
Chennai Super Kings,1,5,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,13
Chennai Super Kings,1,6,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,0,0,0,,,,SV Samson,caught,,,,,RD Rickelton,,20.0,160.0,13
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,4,0,4,,,,,,,,,,,,20.0,160.0,17
Chennai Super Kings,2,2,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,2,0,2,,,,,,,,,,,,20.0,160.0,19
Chennai Super Kings,2,3,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,0,0,0,,,,,,,,,,,,20.0,160.0,19
Chennai Super Kings,2,4,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,0,1,1,,,1.0,,,,,,,,,20.0,160.0,20
Chennai Super Kings,2,5,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,0,0,0,,,,,,,,,,,,20.0,160.0,20
Chennai Super Kings,2,6,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,4,0,4,,,,,,,,,,,,20.0,160.0,24
Chennai Super Kings,2,7,0.1,5.6,mandatory,RD Gaikwad,TA Boult,Urvil Patel,6,0,6,,,,,,,,,,,,20.0,160.0,30
Chennai Super Kings,3,1,0.1,5.6,mandatory,Urvil Patel,JJ Bumrah,RD Gaikwad,2,0,2,,,,,,,,,,,,20.0,160.0,32
Chennai Super Kings,3,2,0.1,5.6,mandatory,Urvil Patel,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,32
Chennai Super Kings,3,3,0.1,5.6,mandatory,Urvil Patel,JJ Bumrah,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,36
Chennai Super Kings,3,4,0.1,5.6,mandatory,Urvil Patel,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,36
Chennai Super Kings,3,5,0.1,5.6,mandatory,Urvil Patel,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,36
Chennai Super Kings,3,6,0.1,5.6,mandatory,Urvil Patel,JJ Bumrah,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,37
Chennai Super Kings,4,1,0.1,5.6,mandatory,Urvil Patel,Krish Bhagat,RD Gaikwad,6,0,6,,,,,,,,,,,,20.0,160.0,43
Chennai Super Kings,4,2,0.1,5.6,mandatory,Urvil Patel,Krish Bhagat,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,47
Chennai Super Kings,4,3,0.1,5.6,mandatory,Urvil Patel,Krish Bhagat,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,48
Chennai Super Kings,4,4,0.1,5.6,mandatory,RD Gaikwad,Krish Bhagat,Urvil Patel,1,0,1,,,,,,,,,,,,20.0,160.0,49
Chennai Super Kings,4,5,0.1,5.6,mandatory,Urvil Patel,Krish Bhagat,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,49
Chennai Super Kings,4,6,0.1,5.6,mandatory,Urvil Patel,Krish Bhagat,RD Gaikwad,6,0,6,,,,,,,,,,,,20.0,160.0,55
Chennai Super Kings,5,1,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Urvil Patel,0,0,0,,,,,,Raghu Sharma,R Minz,Mumbai Indians,impact_player,,,20.0,160.0,55
Chennai Super Kings,5,2,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Urvil Patel,6,0,6,,,,,,,,,,,,20.0,160.0,61
Chennai Super Kings,5,3,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,Urvil Patel,1,0,1,,,,,,,,,,,,20.0,160.0,62
Chennai Super Kings,5,4,0.1,5.6,mandatory,Urvil Patel,AM Ghazanfar,RD Gaikwad,0,0,0,,,,Urvil Patel,bowled,,,,,,,20.0,160.0,62
Chennai Super Kings,5,5,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,0,0,0,,,,,,Kartik Sharma,Mukesh Choudhary,Chennai Super Kings,impact_player,,,20.0,160.0,62
Chennai Super Kings,5,6,0.1,5.6,mandatory,Kartik Sharma,AM Ghazanfar,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,62
Chennai Super Kings,6,1,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,63
Chennai Super Kings,6,2,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,63
Chennai Super Kings,6,3,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,4,0,4,,,,,,,,,,,,20.0,160.0,67
Chennai Super Kings,6,4,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,1,0,1,,,,,,,,,,,,20.0,160.0,68
Chennai Super Kings,6,5,0.1,5.6,mandatory,RD Gaikwad,Raghu Sharma,Kartik Sharma,1,0,1,,,,,,,,,,,,20.0,160.0,69
Chennai Super Kings,6,6,0.1,5.6,mandatory,Kartik Sharma,Raghu Sharma,RD Gaikwad,0,0,0,,,,,,,,,,,,20.0,160.0,69
