team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,5,5,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,49
Sunrisers Hyderabad,5,6,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,49
Sunrisers Hyderabad,6,1,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,50
Sunrisers Hyderabad,6,2,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,51
Sunrisers Hyderabad,6,3,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,52
Sunrisers Hyderabad,6,4,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,53
Sunrisers Hyderabad,6,5,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,53
Sunrisers Hyderabad,6,6,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,54
Sunrisers Hyderabad,7,1,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,1,0,1,,,,,,,,,,,D Padikkal,JA Duffy,Royal Challengers Bengaluru,impact_player,,,,55
Sunrisers Hyderabad,7,2,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,59
Sunrisers Hyderabad,7,3,0.1,5.6,mandatory,Ishan Kishan,R Shepherd,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,60
Sunrisers Hyderabad,7,4,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,64
Sunrisers Hyderabad,7,5,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,68
Sunrisers Hyderabad,7,6,0.1,5.6,mandatory,H Klaasen,R Shepherd,Ishan Kishan,2,0,2,,,,,,,,,,,,,,,,,,70
Sunrisers Hyderabad,8,1,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,71
Sunrisers Hyderabad,8,2,0.1,5.6,mandatory,H Klaasen,Abhinandan Singh,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,72
Sunrisers Hyderabad,8,3,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,72
Sunrisers Hyderabad,8,4,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,76
Sunrisers Hyderabad,8,5,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,78
Sunrisers Hyderabad,8,6,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,79
Sunrisers Hyderabad,9,1,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,79
Sunrisers Hyderabad,9,2,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,83
Sunrisers Hyderabad,9,3,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,84
Sunrisers Hyderabad,9,4,0.1,5.6,mandatory,H Klaasen,Suyash Sharma,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,85
Sunrisers Hyderabad,9,5,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,2,0,2,,,,,,,,,,,,,,,,,,87
Sunrisers Hyderabad,9,6,0.1,5.6,mandatory,Ishan Kishan,Suyash Sharma,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,87
Sunrisers Hyderabad,10,1,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,87
Sunrisers Hyderabad,10,2,0.1,5.6,mandatory,H Klaasen,KH Pandya,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,88
