team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,10,5,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,R Parag,0,0,0,,,,,,,,,,,,,,,,,,117
Rajasthan Royals,10,6,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,R Parag,0,0,0,,,,,,,,,,,,,,,,,,117
Rajasthan Royals,11,1,0.1,5.7,mandatory,R Parag,Mukesh Kumar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,117
Rajasthan Royals,11,2,0.1,5.7,mandatory,R Parag,Mukesh Kumar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,123
Rajasthan Royals,11,3,0.1,5.7,mandatory,R Parag,Mukesh Kumar,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,127
Rajasthan Royals,11,4,0.1,5.7,mandatory,R Parag,Mukesh Kumar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,133
Rajasthan Royals,11,5,0.1,5.7,mandatory,R Parag,Mukesh Kumar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,139
Rajasthan Royals,11,6,0.1,5.7,mandatory,R Parag,Mukesh Kumar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,140
Rajasthan Royals,12,1,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,141
Rajasthan Royals,12,2,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,0,0,0,,,,,,,,,,,,,,,,,,141
Rajasthan Royals,12,3,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,4,0,4,,,,,,,,,,,,,,,,,,145
Rajasthan Royals,12,4,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,1,0,1,,,,,,,,,,,,,,,,,,146
Rajasthan Royals,12,5,0.1,5.7,mandatory,R Parag,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,147
Rajasthan Royals,12,6,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,0,1,1,1.0,,,,,,,,,,,,,,,,,148
Rajasthan Royals,12,7,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,R Parag,4,0,4,,,,,,,,,,,,,,,,,,152
Rajasthan Royals,13,1,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,156
Rajasthan Royals,13,2,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,157
Rajasthan Royals,13,3,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,158
Rajasthan Royals,13,4,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,159
Rajasthan Royals,13,5,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,R Parag,1,0,1,,,,,,,,,,,,,,,,,,160
Rajasthan Royals,13,6,0.1,5.7,mandatory,R Parag,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,160
Rajasthan Royals,14,1,0.1,5.7,mandatory,Dhruv Jurel,MA Starc,R Parag,1,0,1,,,,,,,,,,,,,,,,,,161
Rajasthan Royals,14,2,0.1,5.7,mandatory,R Parag,MA Starc,Dhruv Jurel,0,0,0,,,,,,,,,R Parag,caught,,,,,AR Patel,,,161
Rajasthan Royals,14,3,0.1,5.7,mandatory,D Ferreira,MA Starc,Dhruv Jurel,0,0,0,,,,,,,,,D Ferreira,caught,,,,,AR Patel,,,161
Rajasthan Royals,14,4,0.1,5.7,mandatory,Ravi Singh,MA Starc,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,165
Rajasthan Royals,14,5,0.1,5.7,mandatory,Ravi Singh,MA Starc,Dhruv Jurel,0,0,0,,,Rajasthan Royals,K Kelkar,Ravi Singh,struck down,wicket,,Ravi Singh,lbw,,,,,,,,165
Rajasthan Royals,14,6,0.1,5.7,mandatory,SB Dubey,MA Starc,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,166
Rajasthan Royals,15,1,0.1,5.7,mandatory,SB Dubey,AR Patel,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,166
Rajasthan Royals,15,2,0.1,5.7,mandatory,SB Dubey,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,167
Rajasthan Royals,15,3,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,,168
Rajasthan Royals,15,4,0.1,5.7,mandatory,SB Dubey,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,169
Rajasthan Royals,15,5,0.1,5.7,mandatory,Dhruv Jurel,AR Patel,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,,170
Rajasthan Royals,15,6,0.1,5.7,mandatory,SB Dubey,AR Patel,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,171
Rajasthan Royals,16,1,0.1,5.7,mandatory,SB Dubey,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,172
Rajasthan Royals,16,2,0.1,5.7,mandatory,Dhruv Jurel,M Tiwari,SB Dubey,1,0,1,,,,,,,,,,,,,,,,,,173
Rajasthan Royals,16,3,0.1,5.7,mandatory,SB Dubey,M Tiwari,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,173
Rajasthan Royals,16,4,0.1,5.7,mandatory,SB Dubey,M Tiwari,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,173
Rajasthan Royals,16,5,0.1,5.7,mandatory,SB Dubey,M Tiwari,Dhruv Jurel,0,0,0,,,,,,,,,SB Dubey,caught,,,,,T Vijay,,,173
Rajasthan Royals,16,6,0.1,5.7,mandatory,MD Shanaka,M Tiwari,Dhruv Jurel,1,0,1,,,,,,,,,,,MD Shanaka,SB Dubey,Rajasthan Royals,impact_player,,,,174
Rajasthan Royals,17,1,0.1,5.7,mandatory,MD Shanaka,L Ngidi,Dhruv Jurel,0,1,1,,1.0,,,,,,,,,,,,,,,,175
Rajasthan Royals,17,2,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,MD Shanaka,0,0,0,,,,,,,,,,,,,,,,,,175
Rajasthan Royals,17,3,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,MD Shanaka,1,0,1,,,,,,,,,,,,,,,,,,176
Rajasthan Royals,17,4,0.1,5.7,mandatory,MD Shanaka,L Ngidi,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,182
Rajasthan Royals,17,5,0.1,5.7,mandatory,MD Shanaka,L Ngidi,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,182
Rajasthan Royals,17,6,0.1,5.7,mandatory,MD Shanaka,L Ngidi,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,182
Rajasthan Royals,18,1,0.1,5.7,mandatory,Dhruv Jurel,MA Starc,MD Shanaka,1,0,1,,,,,,,,,,,,,,,,,,183
Rajasthan Royals,18,2,0.1,5.7,mandatory,MD Shanaka,MA Starc,Dhruv Jurel,2,0,2,,,,,,,,,,,,,,,,,,185
Rajasthan Royals,18,3,0.1,5.7,mandatory,MD Shanaka,MA Starc,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,186
