team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,7,4,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,80
Gujarat Titans,7,5,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,81
Gujarat Titans,7,6,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,81
Gujarat Titans,8,1,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,82
Gujarat Titans,8,2,0.1,5.6,mandatory,Shubman Gill,A Kamboj,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,83
Gujarat Titans,8,3,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,89
Gujarat Titans,8,4,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,,91
Gujarat Titans,8,5,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,95
Gujarat Titans,8,6,0.1,5.6,mandatory,B Sai Sudharsan,A Kamboj,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,96
Gujarat Titans,9,1,0.1,5.6,mandatory,B Sai Sudharsan,S Dube,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,100
Gujarat Titans,9,2,0.1,5.6,mandatory,B Sai Sudharsan,S Dube,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,100
Gujarat Titans,9,3,0.1,5.6,mandatory,B Sai Sudharsan,S Dube,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,101
Gujarat Titans,9,4,0.1,5.6,mandatory,Shubman Gill,S Dube,B Sai Sudharsan,2,0,2,,,,,,,,,,,,,,,,,,103
Gujarat Titans,9,5,0.1,5.6,mandatory,Shubman Gill,S Dube,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,107
Gujarat Titans,9,6,0.1,5.6,mandatory,Shubman Gill,S Dube,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,111
Gujarat Titans,10,1,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,,113
Gujarat Titans,10,2,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,114
Gujarat Titans,10,3,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,,115
Gujarat Titans,10,4,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,,116
Gujarat Titans,10,5,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,116
Gujarat Titans,10,6,0.1,5.6,mandatory,Shubman Gill,Gurjapneet Singh,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,117
Gujarat Titans,10,7,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,,119
Gujarat Titans,10,8,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,120
Gujarat Titans,10,9,0.1,5.6,mandatory,B Sai Sudharsan,Gurjapneet Singh,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,121
Gujarat Titans,11,1,0.1,5.6,mandatory,B Sai Sudharsan,Noor Ahmad,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,122
Gujarat Titans,11,2,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,122
Gujarat Titans,11,3,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,122
Gujarat Titans,11,4,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,122
Gujarat Titans,11,5,0.1,5.6,mandatory,Shubman Gill,Noor Ahmad,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,123
Gujarat Titans,11,6,0.1,5.6,mandatory,B Sai Sudharsan,Noor Ahmad,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,124
Gujarat Titans,12,1,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,Shubman Gill,0,1,1,,1.0,,,,,,,,,,,,,,,,125
Gujarat Titans,12,2,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,Shubman Gill,caught,,,,,S Dube,,,125
Gujarat Titans,12,3,0.1,5.6,mandatory,JC Buttler,SH Johnson,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,129
